Place_Name,State_Name,Language spoken at home (Spanish) (DP02_0116E),Language spoken at home (Spanish) - Percent (DP02_0116PE),FIPS_Place,FIPS_State
La Crescenta-Montrose CDP,California,1974,10.3,39045,06
La Cresta CDP,California,4257,48.2,39052,06
Ladera CDP,California,0,0.0,39094,06
Ladera Heights CDP,California,448,7.2,39108,06
Ladera Ranch CDP,California,834,3.7,39114,06
Lafayette city,California,949,3.8,39122,06
La Grange CDP,California,8,6.5,39164,06
Laguna Beach city,California,1050,4.7,39178,06
Laguna Hills city,California,3832,12.8,39220,06
Laguna Niguel city,California,6489,10.4,39248,06
Laguna Woods city,California,577,3.6,39259,06
Lagunitas-Forest Knolls CDP,California,100,5.7,39283,06
La Habra city,California,22026,37.4,39290,06
La Habra Heights city,California,846,16.8,39304,06
La Honda CDP,California,7,0.6,39318,06
Lake Almanor Country Club CDP,California,98,22.8,39411,06
Lake Almanor Peninsula CDP,California,32,8.4,39420,06
Lake Almanor West CDP,California,0,0.0,39425,06
Lake Arrowhead CDP,California,1496,16.1,39444,06
Lake California CDP,California,62,2.1,39460,06
Lake City CDP,California,0,0.0,39472,06
Lake Davis CDP,California,0,0.0,39483,06
Lake Don Pedro CDP,California,166,11.7,39484,06
Lake Elsinore city,California,20347,34.9,39486,06
Lake Forest city,California,12570,15.9,39496,06
Lakehead CDP,California,40,6.6,39514,06
Wofford Heights CDP,California,155,8.4,86174,06
Woodacre CDP,California,34,2.4,86216,06
Woodbridge CDP,California,446,12.5,86230,06
Woodcrest CDP,California,4356,24.5,86244,06
Woodlake city,California,5230,76.2,86300,06
Woodland city,California,18954,33.8,86328,06
Woodlands CDP,California,69,3.1,86380,06
Woodside town,California,204,3.8,86440,06
Woodville CDP,California,1347,82.5,86482,06
Woodville Farm Labor Camp CDP,California,569,98.8,86489,06
Woody CDP,California,0,0.0,86496,06
Wrightwood CDP,California,301,7.4,86594,06
Yankee Hill CDP,California,0,0.0,86678,06
Yermo CDP,California,0,0.0,86720,06
Yettem CDP,California,434,97.7,86734,06
Yolo CDP,California,114,58.2,86804,06
Yorba Linda city,California,4217,6.5,86832,06
Yosemite Lakes CDP,California,204,4.2,86878,06
Yosemite Valley CDP,California,264,21.8,86912,06
Yosemite West CDP,California,4,12.1,86916,06
Yountville city,California,345,11.6,86930,06
Yreka city,California,447,6.3,86944,06
Yuba City city,California,11957,19.3,86972,06
Yucaipa city,California,10526,20.7,87042,06
Yucca Valley town,California,2745,13.2,87056,06
Zayante CDP,California,62,8.9,87090,06
Winton CDP,California,7448,68.6,86076,06
Lake Hughes CDP,California,50,7.8,39556,06
Lake Isabella CDP,California,104,3.0,39570,06
Lakeland Village CDP,California,5204,46.6,39598,06
Lake Los Angeles CDP,California,3799,34.4,39612,06
Lake Mathews CDP,California,1717,24.8,39645,06
Lake Nacimiento CDP,California,84,3.1,39670,06
Lake of the Pines CDP,California,106,2.5,39690,06
Lake of the Woods CDP,California,0,0.0,39696,06
Lakeport city,California,775,17.0,39710,06
Lake Riverside CDP,California,0,0.0,39715,06
Lake San Marcos CDP,California,229,6.2,39724,06
Lake Shastina CDP,California,80,3.1,39728,06
Lake Sherwood CDP,California,83,4.9,39735,06
Lakeside CDP (Kern County),California,261,27.6,39759,06
Lakeside CDP (San Diego County),California,2444,12.4,39766,06
Lakeview CDP,California,1806,77.1,39836,06
Lake Wildwood CDP,California,106,2.3,39885,06
Lakewood city,California,15272,20.5,39892,06
La Mesa city,California,6719,12.1,40004,06
La Mirada city,California,11082,23.9,40032,06
Lamont CDP,California,11666,86.1,40088,06
Lanare CDP,California,220,91.3,40116,06
Lancaster city,California,34461,23.6,40130,06
La Palma city,California,1538,10.2,40256,06
La Porte CDP,California,0,-666666666.0,40312,06
La Presa CDP,California,11438,33.1,40326,06
La Puente city,California,24679,65.6,40340,06
La Quinta city,California,9504,24.0,40354,06
La Riviera CDP,California,935,8.5,40410,06
Larkfield-Wikiup CDP,California,1532,20.3,40426,06
Larkspur city,California,914,7.8,40438,06
La Selva Beach CDP,California,252,10.3,40508,06
Las Flores CDP (Orange County),California,335,7.1,40526,06
Las Flores CDP (Tehama County),California,45,20.7,40536,06
Las Lomas CDP,California,2804,80.9,40592,06
Lathrop city,California,5780,26.2,40704,06
Laton CDP,California,1032,55.5,40746,06
La Verne city,California,3739,12.1,40830,06
La Vina CDP,California,129,83.8,40872,06
Lawndale city,California,16890,55.2,40886,06
Laytonville CDP,California,29,3.9,40928,06
Lebec CDP,California,316,22.1,40956,06
Lee Vining CDP,California,13,22.0,40998,06
Leggett CDP,California,4,7.1,41026,06
Le Grand CDP,California,887,59.9,41040,06
Lemon Cove CDP,California,8,3.1,41110,06
Lemon Grove city,California,7750,30.9,41124,06
Lemon Hill CDP,California,5309,38.3,41142,06
Lemoore city,California,5293,22.4,41152,06
Lemoore Station CDP,California,393,6.7,41166,06
Lennox CDP,California,17752,84.8,41180,06
Lenwood CDP,California,1276,32.7,41194,06
Leona Valley CDP,California,94,6.4,41208,06
Lewiston CDP,California,26,1.9,41278,06
Lexington Hills CDP,California,35,1.4,41282,06
Likely CDP,California,0,-666666666.0,41390,06
Lincoln city,California,4176,9.2,41474,06
Lincoln Village CDP,California,1066,28.2,41558,06
Linda CDP,California,4663,23.5,41572,06
Lindcove CDP,California,46,63.0,41656,06
Linden CDP,California,85,4.6,41670,06
Lindsay city,California,8873,73.7,41712,06
Linnell Camp CDP,California,601,100.0,41740,06
Litchfield CDP,California,0,0.0,41782,06
Little Grass Valley CDP,California,0,-666666666.0,41789,06
Little River CDP,California,17,9.7,41866,06
Littlerock CDP,California,464,55.5,41880,06
Little Valley CDP,California,0,0.0,41908,06
Live Oak CDP,California,3381,21.9,41922,06
Live Oak city,California,3053,38.3,41936,06
Livermore city,California,9000,10.5,41992,06
Livingston city,California,8420,65.6,42006,06
Lockeford CDP,California,672,20.4,42104,06
Lockwood CDP (Amador County),California,13,3.1,42142,06
Lockwood CDP (Monterey County),California,13,3.9,42146,06
Lodi city,California,15194,24.6,42202,06
Lodoga CDP,California,59,32.4,42230,06
Loleta CDP,California,24,4.3,42328,06
Loma Linda city,California,3776,16.5,42370,06
Loma Mar CDP,California,0,0.0,42384,06
Loma Rica CDP,California,134,4.8,42412,06
Lomita city,California,3800,20.3,42468,06
Lompico CDP,California,59,6.8,42510,06
Lompoc city,California,15888,40.0,42524,06
London CDP,California,1178,84.5,42566,06
Lone Pine CDP,California,413,28.8,42580,06
Long Barn CDP,California,0,0.0,42622,06
Long Beach city,California,147021,33.9,43000,06
Lookout CDP,California,0,0.0,43126,06
Loomis town,California,194,3.1,43140,06
Los Alamitos city,California,1474,13.4,43224,06
Los Alamos CDP,California,308,25.1,43252,06
Los Altos city,California,1108,3.8,43280,06
Los Altos Hills town,California,159,1.9,43294,06
Los Angeles city,California,1554567,41.5,44000,06
Los Banos city,California,17345,48.5,44028,06
Los Berros CDP,California,31,10.3,44042,06
Los Gatos town,California,1073,3.5,44112,06
Los Molinos CDP,California,580,31.9,44140,06
Los Olivos CDP,California,107,13.1,44168,06
Los Osos CDP,California,1262,8.2,44182,06
Los Ranchos CDP,California,86,5.2,44242,06
Lost Hills CDP,California,1370,86.1,44280,06
Lower Lake CDP,California,335,33.1,44350,06
Loyalton city,California,54,5.4,44364,06
Loyola CDP,California,71,2.2,44378,06
Lucas Valley-Marinwood CDP,California,153,2.3,44399,06
Lucerne CDP,California,186,7.1,44406,06
Lucerne Valley CDP,California,917,17.5,44420,06
Lynwood city,California,52394,81.4,44574,06
Lytle Creek CDP,California,44,6.7,44644,06
Mabie CDP,California,0,0.0,44672,06
Acalanes Ridge CDP,California,51,6.3,00135,06
Acampo CDP,California,0,0.0,00156,06
Acton CDP,California,1211,17.8,00212,06
Adelanto city,California,14639,47.0,00296,06
Adin CDP,California,1,0.5,00310,06
Agoura Hills city,California,1150,5.9,00394,06
Agua Dulce CDP,California,480,14.4,00450,06
Aguanga CDP,California,61,8.9,00464,06
Ahwahnee CDP,California,94,4.4,00478,06
Airport CDP,California,705,61.1,00535,06
Alameda city,California,5219,7.0,00562,06
Alamo CDP,California,480,3.5,00618,06
Albany city,California,1434,7.7,00674,06
Albion CDP,California,22,7.6,00716,06
Alderpoint CDP,California,0,0.0,00786,06
Alhambra city,California,19766,24.6,00884,06
Alhambra Valley CDP,California,6,0.6,00898,06
Aliso Viejo city,California,5007,10.8,00947,06
McArthur CDP,California,126,30.8,44700,06
McClellan Park CDP,California,1,0.1,44760,06
McClenney Tract CDP,California,0,0.0,44770,06
McCloud CDP,California,3,0.3,44784,06
Macdoel CDP,California,0,0.0,44812,06
McFarland city,California,9298,75.7,44826,06
McGee Creek CDP,California,0,-666666666.0,44830,06
McKinleyville CDP,California,758,5.0,44910,06
McKittrick CDP,California,0,0.0,44924,06
McSwain CDP,California,554,12.9,45006,06
Madeline CDP,California,0,0.0,45008,06
Madera city,California,34994,58.6,45022,06
Madera Acres CDP,California,4974,53.3,45050,06
Madera Ranchos CDP,California,356,10.5,45054,06
Madison CDP,California,391,77.9,45064,06
Mad River CDP,California,0,0.0,45092,06
Magalia CDP,California,251,2.3,45120,06
Malaga CDP,California,595,57.5,45232,06
Malibu city,California,836,6.9,45246,06
Mammoth Lakes town,California,2168,27.2,45358,06
Manchester CDP,California,88,35.1,45386,06
Manhattan Beach city,California,1401,4.2,45400,06
Manila CDP,California,67,9.6,45414,06
Manteca city,California,14085,18.7,45484,06
Manton CDP,California,1,0.3,45512,06
March ARB CDP,California,153,13.4,45680,06
Maricopa city,California,376,18.7,45736,06
Marina city,California,3881,18.9,45778,06
Marina del Rey CDP,California,544,5.8,45806,06
Marin City CDP,California,314,10.9,45820,06
Mariposa CDP,California,89,7.9,45932,06
Markleeville CDP,California,10,5.6,45988,06
Martell CDP,California,0,0.0,46100,06
Martinez city,California,2586,7.2,46114,06
Marysville city,California,2183,18.8,46170,06
Matheny CDP,California,564,64.7,46223,06
Mather CDP,California,159,4.0,46226,06
Maxwell CDP,California,742,62.2,46338,06
Mayfair CDP,California,1382,30.7,46400,06
Mayflower Village CDP,California,1275,23.6,46436,06
Maywood city,California,23257,92.7,46492,06
Meadowbrook CDP,California,1964,50.4,46520,06
Meadow Valley CDP,California,30,6.9,46618,06
Meadow Vista CDP,California,110,3.3,46632,06
Mead Valley CDP,California,13445,69.4,46646,06
Mecca CDP,California,5029,97.5,46660,06
Meiners Oaks CDP,California,357,10.1,46702,06
Mendocino CDP,California,12,1.7,46814,06
Mendota city,California,9235,84.9,46828,06
Menifee city,California,18250,21.1,46842,06
Menlo Park city,California,4704,14.3,46870,06
Mentone CDP,California,1967,20.4,46884,06
Merced city,California,29323,37.6,46898,06
Meridian CDP,California,42,15.7,46926,06
Mesa CDP,California,21,5.0,47013,06
Mesa Verde CDP,California,445,63.5,47066,06
Mesa Vista CDP,California,13,6.2,47086,06
Alleghany CDP,California,0,0.0,00982,06
Allendale CDP,California,34,2.5,00996,06
Allensworth CDP,California,474,85.4,01010,06
Almanor CDP,California,0,-666666666.0,01094,06
Alondra Park CDP,California,3240,43.1,01150,06
Alpaugh CDP,California,591,88.7,01164,06
Alpine CDP,California,792,5.7,01192,06
Alpine Village CDP,California,0,0.0,01228,06
Alta CDP,California,8,1.2,01276,06
Altadena CDP,California,9241,22.6,01290,06
Alta Sierra CDP (Kern County),California,0,0.0,01358,06
Alta Sierra CDP (Nevada County),California,382,5.3,01360,06
Alto CDP,California,133,16.3,01416,06
Alturas city,California,201,8.7,01444,06
Alum Rock CDP,California,5352,48.8,01458,06
Amador City city,California,2,1.4,01514,06
Amador Pines CDP,California,7,0.7,01518,06
American Canyon city,California,4283,22.4,01640,06
Amesti CDP,California,1634,53.9,01651,06
Anaheim city,California,139531,42.1,02000,06
Anchor Bay CDP,California,0,0.0,02028,06
Anderson city,California,659,6.9,02042,06
Angels city,California,312,8.4,02112,06
Angwin CDP,California,379,11.4,02168,06
Antelope CDP,California,3698,8.2,02210,06
Antioch city,California,23030,21.9,02252,06
Anza CDP,California,181,8.7,02294,06
Apple Valley town,California,10951,16.4,02364,06
Aptos CDP,California,336,5.5,02378,06
Aptos Hills-Larkin Valley CDP,California,284,20.3,02382,06
Arbuckle CDP,California,2107,69.9,02420,06
Arcadia city,California,3384,6.3,02462,06
Arcata city,California,1581,8.9,02476,06
Arden-Arcade CDP,California,10886,12.5,02553,06
Armona CDP,California,2388,58.4,02700,06
Arnold CDP,California,71,3.4,02770,06
Aromas CDP,California,605,24.2,02812,06
Arroyo Grande city,California,979,5.7,02868,06
Artesia city,California,4314,27.7,02896,06
Artois CDP,California,56,23.7,02910,06
Arvin city,California,16057,85.8,02924,06
Ashland CDP,California,7751,35.3,02980,06
Aspen Springs CDP,California,0,0.0,03026,06
Atascadero city,California,2261,7.9,03064,06
Atherton town,California,335,4.9,03092,06
Atwater city,California,10852,38.2,03162,06
Auberry CDP,California,64,2.0,03190,06
Auburn city,California,990,7.3,03204,06
Auburn Lake Trails CDP,California,0,0.0,03205,06
August CDP,California,4801,65.7,03209,06
Avalon city,California,1349,37.0,03274,06
Avenal city,California,9428,79.0,03302,06
Avery CDP,California,0,0.0,03316,06
Avila Beach CDP,California,16,1.1,03330,06
Avocado Heights CDP,California,7852,60.4,03344,06
Azusa city,California,19416,41.9,03386,06
Mettler CDP,California,80,80.0,47164,06
Mexican Colony CDP,California,163,54.5,47192,06
Meyers CDP,California,46,2.0,47206,06
Middletown CDP,California,234,32.3,47332,06
Midpines CDP,California,0,0.0,47374,06
Midway City CDP,California,1701,20.8,47430,06
Milford CDP,California,0,0.0,47472,06
Millbrae city,California,1396,6.4,47486,06
Millerton CDP,California,0,0.0,47592,06
Mill Valley city,California,345,2.5,47710,06
Millville CDP,California,24,2.8,47724,06
Milpitas city,California,5701,8.1,47766,06
Mineral CDP,California,0,0.0,47794,06
Minkler CDP,California,41,4.6,47822,06
Mira Monte CDP,California,1338,20.2,48046,06
Miranda CDP,California,83,18.0,48060,06
Mission Canyon CDP,California,133,5.3,48147,06
Mission Hills CDP,California,876,25.2,48186,06
Mission Viejo city,California,9164,10.1,48256,06
Mi-Wuk Village CDP,California,0,0.0,48298,06
Modesto city,California,53073,26.7,48354,06
Modjeska CDP,California,24,3.1,48410,06
Mohawk Vista CDP,California,12,22.6,48448,06
Mojave CDP,California,728,21.1,48452,06
Mokelumne Hill CDP,California,0,0.0,48480,06
Monmouth CDP,California,79,76.0,48592,06
Mono City CDP,California,0,0.0,48602,06
Mono Vista CDP,California,260,7.6,48641,06
Monrovia city,California,10425,29.1,48648,06
Monson CDP,California,71,33.8,48676,06
Montague city,California,108,7.6,48690,06
Montalvin Manor CDP,California,1623,67.0,48718,06
Montara CDP,California,176,6.4,48760,06
Montclair city,California,18043,47.7,48788,06
Montebello city,California,34227,58.1,48816,06
Montecito CDP,California,431,5.4,48844,06
Monterey city,California,2923,10.8,48872,06
Monterey Park city,California,10434,18.1,48914,06
Monterey Park Tract CDP,California,241,86.4,48916,06
Monte Rio CDP,California,15,1.5,48928,06
Monte Sereno city,California,98,2.9,48956,06
Montgomery Creek CDP,California,0,0.0,48998,06
Monument Hills CDP,California,218,16.8,49045,06
Moorpark city,California,5817,16.9,49138,06
Morada CDP,California,250,7.3,49180,06
Moraga town,California,512,3.1,49187,06
Moreno Valley city,California,85382,44.0,49270,06
Morgan Hill city,California,7103,17.2,49278,06
Morongo Valley CDP,California,469,15.4,49348,06
Morro Bay city,California,815,8.0,49362,06
Moskowite Corner CDP,California,11,15.9,49432,06
Moss Beach CDP,California,732,24.0,49446,06
Moss Landing CDP,California,0,0.0,49488,06
Mountain Center CDP,California,0,0.0,49544,06
Mountain Gate CDP,California,0,0.0,49558,06
Mountain House CDP,California,1560,7.9,49582,06
Baker CDP,California,388,75.3,03512,06
Bakersfield city,California,117251,33.6,03526,06
Bakersfield Country Club CDP,California,352,24.8,03546,06
Baldwin Park city,California,43940,61.8,03666,06
Ballard CDP,California,110,16.0,03694,06
Ballico CDP,California,163,34.5,03708,06
Bangor CDP,California,11,2.7,03792,06
Banning city,California,9518,33.5,03820,06
Barstow city,California,4822,22.5,04030,06
Bass Lake CDP,California,0,0.0,04198,06
Bay Point CDP,California,13164,56.1,04415,06
Bayview CDP (Contra Costa County),California,1281,48.6,04470,06
Bayview CDP (Humboldt County),California,86,3.3,04478,06
Baywood Park CDP,California,1,0.1,04549,06
Beale AFB CDP,California,85,10.3,04576,06
Bear Creek CDP,California,14,14.7,04632,06
Bear Valley CDP (Alpine County),California,5,5.5,04716,06
Bear Valley CDP (Mariposa County),California,0,0.0,04730,06
Bear Valley Springs CDP,California,326,6.4,04734,06
Beaumont city,California,10584,23.9,04758,06
Beckwourth CDP,California,0,0.0,04772,06
Belden CDP,California,0,-666666666.0,04856,06
Bell city,California,27265,83.8,04870,06
Bella Vista CDP,California,5,0.2,04926,06
Bell Canyon CDP,California,39,2.0,04938,06
Bellflower city,California,31676,44.2,04982,06
Bell Gardens city,California,35285,90.5,04996,06
Belmont city,California,1852,7.3,05108,06
Belvedere city,California,90,4.2,05164,06
Benbow CDP,California,0,0.0,05262,06
Bend CDP,California,0,0.0,05276,06
Benicia city,California,1421,5.3,05290,06
Ben Lomond CDP,California,340,5.0,05332,06
Benton CDP,California,21,8.7,05346,06
Benton Park CDP,California,2473,51.1,05356,06
Berkeley city,California,9571,8.1,06000,06
