submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
05/03/2022,NC,2675838,2231618,444220,1667,498,24605,21447,3158,2,0,05/03/2022 12:00:00 AM,Agree,Agree
05/22/2020,NC,21780,21779,1,787,0,784,784,0,18,0,05/22/2020 12:00:00 AM,Agree,Agree
09/04/2020,NC,176698,173530,3168,1700,75,3102,3087,15,27,1,09/04/2020 12:00:00 AM,Agree,Agree
09/09/2020,NC,182231,178789,3442,1063,125,3237,3218,19,25,1,09/09/2020 12:00:00 AM,Agree,Agree
05/13/2020,NC,16024,16024,0,431,0,658,658,0,18,0,05/13/2020 12:00:00 AM,Agree,Agree
01/08/2021,NC,615334,556058,59276,10989,1524,8713,7962,751,101,16,01/08/2021 12:00:00 AM,Agree,Agree
08/25/2020,NC,160453,158070,2383,1484,123,2812,2802,10,23,1,08/25/2020 12:00:00 AM,Agree,Agree
06/09/2021,NC,995417,854308,141109,469,128,13533,11934,1599,0,0,06/09/2021 12:00:00 AM,Agree,Agree
05/10/2021,NC,973371,837896,135475,666,171,13230,11674,1556,5,3,05/10/2021 12:00:00 AM,Agree,Agree
05/11/2021,NC,974374,838594,135780,1003,305,13250,11690,1560,20,4,05/11/2021 12:00:00 AM,Agree,Agree
08/07/2021,NC,1074520,916039,158481,5048,865,13983,12323,1660,18,1,08/07/2021 12:00:00 AM,Agree,Agree
04/21/2021,NC,943356,815092,128264,2007,518,13000,11485,1515,10,1,04/21/2021 12:00:00 AM,Agree,Agree
02/02/2022,NC,2487145,2084336,402809,13571,3141,22253,19463,2790,70,15,02/02/2022 12:00:00 AM,Agree,Agree
12/21/2021,NC,1597712,1344971,252741,3882,1012,19506,17171,2335,22,3,12/21/2021 12:00:00 AM,Agree,Agree
07/25/2020,NC,111480,110871,609,2032,51,1942,1940,2,22,0,07/25/2020 12:00:00 AM,Agree,Agree
04/05/2022,NC,2638394,2201868,436526,456,115,24532,21385,3147,2,0,04/05/2022 12:00:00 AM,Agree,Agree
02/16/2021,NC,824292,725615,98677,2325,790,11927,10566,1361,45,3,02/16/2021 12:00:00 AM,Agree,Agree
05/16/2022,NC,2715214,2263491,451723,2485,302,24629,21467,3162,3,1,05/16/2022 12:00:00 AM,Agree,Agree
07/01/2021,NC,1004146,860514,143632,524,124,13646,12032,1614,5,1,07/01/2021 12:00:00 AM,Agree,Agree
07/12/2020,NC,85886,85689,197,1983,5,1643,1642,1,17,0,07/12/2020 12:00:00 AM,Agree,Agree
10/01/2021,NC,1400403,1187788,212615,4308,769,17237,15155,2082,56,5,10/01/2021 12:00:00 AM,Agree,Agree
11/12/2020,NC,303239,288410,14829,3285,319,5156,5014,142,41,3,11/12/2020 12:00:00 AM,Agree,Agree
02/15/2022,NC,2579463,2157245,422218,3330,1068,23341,20357,2984,56,12,02/15/2022 12:00:00 AM,Agree,Agree
04/11/2020,NC,4227,4227,0,236,0,98,98,0,7,0,04/11/2020 12:00:00 AM,Agree,Agree
11/17/2021,NC,1503457,1270658,232799,2262,556,18804,16550,2254,20,5,11/17/2021 12:00:00 AM,Agree,Agree
07/16/2020,NC,93692,93400,292,2006,38,1724,1722,2,16,0,07/16/2020 12:00:00 AM,Agree,Agree
06/21/2020,NC,52767,52756,11,1277,0,1315,1315,0,12,0,06/21/2020 12:00:00 AM,Agree,Agree
03/12/2021,NC,874802,763718,111084,1720,425,12536,11081,1455,10,2,03/12/2021 12:00:00 AM,Agree,Agree
10/17/2021,NC,1448885,1227537,221348,1951,218,18011,15836,2175,42,5,10/17/2021 12:00:00 AM,Agree,Agree
01/20/2022,NC,2230185,1871406,358779,36279,6814,21050,18478,2572,80,15,01/20/2022 12:00:00 AM,Agree,Agree
08/09/2020,NC,137159,135827,1332,1357,13,2364,2359,5,22,0,08/09/2020 12:00:00 AM,Agree,Agree
05/24/2020,NC,23292,23291,1,567,0,825,825,0,21,0,05/24/2020 12:00:00 AM,Agree,Agree
02/14/2020,NC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
10/19/2020,NC,246718,237910,8808,1545,70,4321,4244,77,18,2,10/19/2020 12:00:00 AM,Agree,Agree
04/27/2020,NC,9335,9335,0,411,0,384,384,0,24,0,05/18/2022 01:20:45 PM,Agree,Agree
07/25/2021,NC,1028975,879273,149702,1764,307,13780,12149,1631,11,2,07/25/2021 12:00:00 AM,Agree,Agree
03/28/2020,NC,962,962,0,172,0,6,6,0,1,0,03/28/2020 12:00:00 AM,Agree,Agree
04/11/2021,NC,924764,800982,123782,1579,356,12892,11391,1501,14,3,04/11/2021 12:00:00 AM,Agree,Agree
11/22/2021,NC,1513289,1278613,234676,1298,169,18902,16639,2263,20,0,11/22/2021 12:00:00 AM,Agree,Agree
01/28/2021,NC,745106,665440,79666,6441,1053,10717,9559,1158,111,20,01/28/2021 12:00:00 AM,Agree,Agree
03/01/2020,NC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/27/2022,NC,2613618,2183142,430476,1244,210,23950,20878,3072,40,7,02/27/2022 12:00:00 AM,Agree,Agree
11/29/2021,NC,1525380,1288144,237236,1612,244,19036,16760,2276,16,1,11/29/2021 12:00:00 AM,Agree,Agree
07/01/2020,NC,66835,66787,48,1873,8,1469,1469,0,22,0,07/01/2020 12:00:00 AM,Agree,Agree
02/21/2021,NC,838662,736527,102135,2078,263,12107,10720,1387,35,6,02/21/2021 12:00:00 AM,Agree,Agree
06/16/2020,NC,46189,46181,8,953,0,1248,1248,0,8,0,06/16/2020 12:00:00 AM,Agree,Agree
01/29/2022,NC,2444098,2049729,394369,19801,3225,21926,19203,2723,113,17,01/29/2022 12:00:00 AM,Agree,Agree
11/06/2020,NC,287927,274769,13158,2933,275,4946,4822,124,33,1,11/06/2020 12:00:00 AM,Agree,Agree
05/09/2020,NC,14517,14517,0,468,0,589,589,0,19,0,05/09/2020 12:00:00 AM,Agree,Agree
04/25/2022,NC,2660809,2219825,440984,1044,166,24582,21427,3155,3,0,04/25/2022 12:00:00 AM,Agree,Agree
01/26/2020,NC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/23/2020,NC,324,324,0,38,0,2,2,0,1,0,03/23/2020 12:00:00 AM,Agree,Agree
12/26/2020,NC,517794,474532,43262,4039,136,7493,6974,519,74,13,12/26/2020 12:00:00 AM,Agree,Agree
11/04/2021,NC,1481493,1253202,228291,2001,524,18574,16349,2225,20,1,11/04/2021 12:00:00 AM,Agree,Agree
10/10/2021,NC,1430932,1213088,217844,2574,256,17711,15572,2139,36,4,10/10/2021 12:00:00 AM,Agree,Agree
11/19/2020,NC,327185,309543,17642,4382,486,5414,5252,162,35,1,11/19/2020 12:00:00 AM,Agree,Agree
12/14/2021,NC,1571468,1324230,247238,2928,782,19330,17012,2318,27,3,12/14/2021 12:00:00 AM,Agree,Agree
01/26/2021,NC,733268,655816,77452,4709,1208,10527,9411,1116,100,22,01/26/2021 12:00:00 AM,Agree,Agree
04/25/2021,NC,951442,821205,130237,1472,271,13053,11531,1522,14,4,04/25/2021 12:00:00 AM,Agree,Agree
09/23/2021,NC,1364797,1158181,206616,6306,1018,16718,14702,2016,65,9,09/23/2021 12:00:00 AM,Agree,Agree
02/22/2020,NC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/08/2022,NC,1878646,1576628,302018,32521,5110,20185,17742,2443,67,10,01/08/2022 12:00:00 AM,Agree,Agree
05/21/2020,NC,20993,20992,1,814,1,766,766,0,15,0,05/21/2020 12:00:00 AM,Agree,Agree
09/12/2021,NC,1299782,1104062,195720,6155,563,15938,14014,1924,66,6,09/12/2021 12:00:00 AM,Agree,Agree
09/30/2020,NC,210409,204930,5479,1401,164,3833,3788,45,32,2,09/30/2020 12:00:00 AM,Agree,Agree
10/13/2020,NC,233947,226349,7598,1790,244,4153,4091,62,23,0,10/13/2020 12:00:00 AM,Agree,Agree
03/17/2022,NC,2628644,2194451,434193,606,137,24381,21249,3132,19,3,03/17/2022 12:00:00 AM,Agree,Agree
06/10/2021,NC,995902,854652,141250,485,141,13544,11944,1600,11,1,06/10/2021 12:00:00 AM,Agree,Agree
06/11/2021,NC,996384,854996,141388,482,138,13553,11950,1603,9,3,06/11/2021 12:00:00 AM,Agree,Agree
06/13/2021,NC,997181,855600,141581,333,68,13563,11960,1603,4,0,06/13/2021 12:00:00 AM,Agree,Agree
05/23/2021,NC,986245,847537,138708,634,136,13400,11817,1583,7,1,05/23/2021 12:00:00 AM,Agree,Agree
02/26/2021,NC,850840,745767,105073,2565,517,12271,10850,1421,32,3,02/26/2021 12:00:00 AM,Agree,Agree
08/28/2020,NC,166005,163328,2677,1986,85,2889,2879,10,25,0,08/28/2020 12:00:00 AM,Agree,Agree
10/04/2021,NC,1410359,1196426,213933,2216,224,17413,15315,2098,56,6,10/04/2021 12:00:00 AM,Agree,Agree
03/18/2022,NC,2629314,2194993,434321,670,128,24397,21262,3135,16,3,03/18/2022 12:00:00 AM,Agree,Agree
04/10/2022,NC,2642287,2204948,437339,699,94,24549,21401,3148,4,0,04/10/2022 12:00:00 AM,Agree,Agree
06/07/2020,NC,35626,35621,5,934,0,1113,1113,0,17,0,06/07/2020 12:00:00 AM,Agree,Agree
03/22/2022,NC,2630866,2196197,434669,461,134,24450,21312,3138,16,1,03/22/2022 12:00:00 AM,Agree,Agree
11/28/2021,NC,1523768,1286776,236992,1540,401,19020,16745,2275,28,0,11/28/2021 12:00:00 AM,Agree,Agree
06/10/2020,NC,38421,38415,6,865,0,1160,1160,0,13,0,06/10/2020 12:00:00 AM,Agree,Agree
05/02/2021,NC,963001,829965,133036,1338,271,13130,11596,1534,6,2,05/02/2021 12:00:00 AM,Agree,Agree
06/30/2020,NC,64962,64922,40,1239,4,1447,1447,0,17,0,06/30/2020 12:00:00 AM,Agree,Agree
06/08/2021,NC,994948,853967,140981,386,110,13533,11934,1599,5,2,06/08/2021 12:00:00 AM,Agree,Agree
03/03/2020,NC,1,1,0,1,0,0,0,0,0,0,03/03/2020 12:00:00 AM,Agree,Agree
03/08/2022,NC,2622751,2189997,432754,738,256,24207,21105,3102,32,3,03/08/2022 12:00:00 AM,Agree,Agree
02/25/2021,NC,848275,743719,104556,2900,632,12239,10821,1418,28,7,02/25/2021 12:00:00 AM,Agree,Agree
10/23/2020,NC,255670,245743,9927,2654,301,4458,4373,85,28,1,10/23/2020 12:00:00 AM,Agree,Agree
05/15/2021,NC,979232,842307,136925,1081,233,13296,11729,1567,11,1,05/15/2021 12:00:00 AM,Agree,Agree
10/14/2021,NC,1441298,1221400,219898,3280,637,17891,15728,2163,38,5,10/14/2021 12:00:00 AM,Agree,Agree
05/09/2021,NC,972705,837401,135304,1146,190,13225,11672,1553,14,3,05/09/2021 12:00:00 AM,Agree,Agree
06/12/2020,NC,41314,41308,6,1622,0,1184,1184,0,12,0,06/12/2020 12:00:00 AM,Agree,Agree
01/28/2020,NC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/28/2022,NC,2424297,2033153,391144,21572,3272,21813,19107,2706,103,22,01/28/2022 12:00:00 AM,Agree,Agree
04/18/2021,NC,938598,811562,127036,1575,346,12967,11457,1510,14,3,04/18/2021 12:00:00 AM,Agree,Agree
09/22/2021,NC,1358491,1152893,205598,5327,1095,16653,14646,2007,57,8,09/22/2021 12:00:00 AM,Agree,Agree
07/15/2020,NC,91686,91432,254,1914,31,1708,1706,2,25,1,07/15/2020 12:00:00 AM,Agree,Agree
08/01/2020,NC,124723,123746,977,1964,69,2130,2127,3,30,0,08/01/2020 12:00:00 AM,Agree,Agree
04/18/2020,NC,6167,6167,0,293,0,221,221,0,14,0,04/18/2020 12:00:00 AM,Agree,Agree
06/23/2021,NC,1000892,858215,142677,486,194,13610,11999,1611,4,0,06/23/2021 12:00:00 AM,Agree,Agree
01/18/2021,NC,686969,618109,68860,4170,413,9722,8773,949,85,19,01/18/2021 12:00:00 AM,Agree,Agree
08/16/2021,NC,1118340,952496,165844,3551,325,14243,12542,1701,41,6,08/16/2021 12:00:00 AM,Agree,Agree
10/15/2020,NC,238590,230462,8128,2576,271,4212,4142,70,23,3,10/15/2020 12:00:00 AM,Agree,Agree
10/06/2020,NC,220796,214438,6358,1391,232,3972,3921,51,27,3,10/06/2020 12:00:00 AM,Agree,Agree
02/20/2022,NC,2598547,2171747,426800,2355,420,23650,20621,3029,63,9,02/20/2022 12:00:00 AM,Agree,Agree
04/07/2020,NC,3148,3148,0,262,0,63,63,0,4,0,04/07/2020 12:00:00 AM,Agree,Agree
10/04/2020,NC,218078,211987,6091,1432,46,3917,3870,47,27,1,10/04/2020 12:00:00 AM,Agree,Agree
10/05/2021,NC,1413246,1198545,214701,2887,768,17477,15368,2109,64,11,10/05/2021 12:00:00 AM,Agree,Agree
08/18/2021,NC,1129278,961030,168248,6107,1235,14343,12624,1719,56,7,08/18/2021 12:00:00 AM,Agree,Agree
01/19/2021,NC,692381,621748,70633,5412,1773,9833,8864,969,111,20,01/19/2021 12:00:00 AM,Agree,Agree
01/10/2022,NC,1918603,1612081,306522,17785,1814,20306,17847,2459,55,2,01/10/2022 12:00:00 AM,Agree,Agree
02/13/2022,NC,2573453,2152653,420800,3927,788,23212,20251,2961,82,15,02/13/2022 12:00:00 AM,Agree,Agree
09/24/2020,NC,202215,197433,4782,1802,114,3656,3618,38,25,1,09/24/2020 12:00:00 AM,Agree,Agree
07/26/2021,NC,1030557,880690,149867,1582,165,13789,12156,1633,9,2,07/26/2021 12:00:00 AM,Agree,Agree
03/27/2022,NC,2634020,2198488,435532,315,58,24488,21347,3141,6,1,03/27/2022 12:00:00 AM,Agree,Agree
05/08/2021,NC,971559,836445,135114,1389,267,13211,11661,1550,14,5,05/08/2021 12:00:00 AM,Agree,Agree
05/29/2021,NC,990597,850766,139831,688,147,13453,11864,1589,8,2,05/29/2021 12:00:00 AM,Agree,Agree
07/09/2021,NC,1008413,863610,144803,720,184,13680,12063,1617,4,1,07/09/2021 12:00:00 AM,Agree,Agree
05/15/2020,NC,17525,17525,0,810,0,686,686,0,14,0,05/15/2020 12:00:00 AM,Agree,Agree
11/14/2021,NC,1498282,1266635,231647,1747,226,18757,16513,2244,10,0,11/14/2021 12:00:00 AM,Agree,Agree
11/18/2021,NC,1505797,1272478,233319,2340,520,18823,16568,2255,19,1,11/18/2021 12:00:00 AM,Agree,Agree
10/20/2021,NC,1454572,1231973,222599,2457,559,18148,15958,2190,52,7,10/20/2021 12:00:00 AM,Agree,Agree
11/01/2021,NC,1476151,1249250,226901,998,130,18502,16283,2219,22,1,11/01/2021 12:00:00 AM,Agree,Agree
08/05/2020,NC,130259,129098,1161,1235,64,2253,2249,4,33,1,08/05/2020 12:00:00 AM,Agree,Agree
01/13/2022,NC,2016779,1690633,326146,38787,6455,20503,18017,2486,60,7,01/13/2022 12:00:00 AM,Agree,Agree
11/26/2020,NC,353065,332038,21027,4641,635,5692,5493,199,37,4,11/26/2020 12:00:00 AM,Agree,Agree
02/22/2022,NC,2602166,2174385,427781,2106,689,23750,20701,3049,51,9,02/22/2022 12:00:00 AM,Agree,Agree
01/13/2021,NC,652149,587658,64491,7672,1443,9211,8362,849,106,24,01/13/2021 12:00:00 AM,Agree,Agree
09/14/2021,NC,1310879,1113342,197537,6300,1408,16105,14165,1940,84,11,09/14/2021 12:00:00 AM,Agree,Agree
02/08/2021,NC,798955,705794,93161,2702,389,11512,10221,1291,67,10,02/08/2021 12:00:00 AM,Agree,Agree
11/09/2020,NC,294231,280567,13664,1598,87,5051,4919,132,38,2,11/09/2020 12:00:00 AM,Agree,Agree
02/23/2020,NC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
